,tia_f,tia_pro,tia_rc,tia_up,tia_t
r_squared,0.13972695657142586,0.16631635121346555,0.16342387188379748,0.07254431444807474,0.23009435029243241
adj_r_squared,0.08262918820227272,0.11098336567453626,0.10789890762829735,0.010987521159230185,0.1789944177897178
F,2.4471526744802317,3.0057360829817226,2.9432503753049994,1.1784940470773564,4.50283080667883
p_for_F,0.002479845578138131,0.00020444843471664078,0.0002717769460895619,0.28966160606460256,1.8745329293559115e-07
df_model,15.0,15.0,15.0,15.0,15.0
df_resid,226.0,226.0,226.0,226.0,226.0
