,DV,B,SE,95% CI,t,p
0,TiA - Familiarity,0.1418154153415965,0.11018380251005853,"[-0.075, 0.359]",1.2870804248079055,0.19926623190945017
1,TiA - Propensity to Trust,-0.054249591997116056,0.08010562158431152,"[-0.212, 0.104]",-0.6772257792172316,0.49889395069467357
2,TiA - Reliability/Competence,-0.10037523533433593,0.06502045713690026,"[-0.228, 0.028]",-1.543748533219266,0.12392430956932518
3,TiA - Trust in Automation,-0.10157341926202554,0.09028043556541242,"[-0.279, 0.076]",-1.1250878291169832,0.2616395072054114
4,TiA - Understanding/Predictability,-0.006106601758899752,0.09202507377169725,"[-0.187, 0.175]",-0.06635802079387049,0.9471462540266663
