,tia_f,tia_pro,tia_rc,tia_t,tia_up
tia_f,1.0,0.09597145159534735,0.05734377038315397,0.034648356044661266,-0.12067700129732502
tia_pro,0.09597145159534735,1.0,0.6168293033793626,0.48942418022788603,0.33121186886436627
tia_rc,0.05734377038315397,0.6168293033793626,1.0,0.6843231173843294,0.44173589809984
tia_t,0.034648356044661266,0.48942418022788603,0.6843231173843294,1.0,0.4221297645267822
tia_up,-0.12067700129732502,0.33121186886436627,0.44173589809984,0.4221297645267822,1.0
