,tia_f,tia_pro,tia_rc,tia_t,tia_up
r_squared,0.14294958986133643,0.15850840098999364,0.1910995995704291,0.24570998182927994,0.07171983963328443
adj_r_squared,0.08915981516644123,0.10569512071739906,0.14033179201208779,0.19836960411982052,0.01345957852240276
F,2.6575606734211283,3.0012981615960266,3.764188543119998,5.190283510986499,1.231025029166728
p_for_F,0.0009489174106676088,0.0001988124700782435,5.57753541170522e-06,6.270715063678611e-09,0.2490035887810372
df_model,15.0,15.0,15.0,15.0,15.0
df_resid,239.0,239.0,239.0,239.0,239.0
